t,x
560,26
571,10
582,18
593,27
604,40
615,15
626,14
637,11
648,9
659,6
670,24
681,16
692,10
703,9
714,44
725,46
736,36
747,39
758,21
769,12
780,16
791,50
802,7
813,6
824,13
835,22
846,20
857,16
868,20
879,9
890,7
901,26
912,9
923,11
934,39
945,18
956,26
967,28
978,22
989,42
1000,8
1011,16
1022,20
1033,28
1044,21
1055,8
1066,10
1077,13
1089,25
1100,18
1111,16
1122,18
1133,9
1144,23
1155,35
1167,12
1178,29
1190,8
1201,5
1212,48
1224,16
1235,15
1247,17
1258,9
1269,14
1280,34
1291,39
1302,20
1313,12
1324,10
1335,22
1346,21
1357,28
1368,4
1379,25
1391,12
1402,2307
1414,1926
1426,536
1438,699
1450,543
1462,444
1474,291
1486,106
1498,291
1510,154
1522,17
1533,55
1545,75
1556,88
1567,89
1578,23
1589,40
1600,42
1611,48
1622,16
1633,31
1644,16
1655,48
1666,28
1678,14
1689,50
1701,38
1713,26
1724,26
1736,32
1747,42
1759,37
1771,14
1782,6
1793,27
1805,29
1817,1988
1829,2043
1841,852
1853,486
1865,268
1877,155
1889,425
1901,229
1913,42
1924,63
1936,148
1948,86
1959,44
1970,50
1982,40
1993,83
2005,38
2016,25
2027,30
2038,3
2049,14
2060,43
2071,30
2082,17
2093,15
2104,44
2115,10
2126,16
2137,21
2149,25
2161,25
2173,25
2185,15
2197,18
2208,3319
2220,3129
2232,1260
2244,1570
2256,347
2268,713
2280,648
2292,356
2304,233
2316,270
2328,166
2340,114
2352,37
2363,141
2375,90
2386,84
2397,8
2408,64
2419,2
2430,23
2441,24
2453,4
2464,22
2475,16
2486,21
2498,18
2509,17
2521,7
2532,27
2544,16
2555,19
2567,18
2579,14
2591,23
2602,19
2613,9
2624,20
2635,3039
2647,1654
2659,1865
2671,1540
2683,61
2695,705
2707,725
2719,422
2731,176
2743,247
2755,180
2767,112
2779,26
2791,146
2803,91
2815,51
2827,65
2839,47
2851,8
2862,18
2873,13
2885,18
2897,19
2909,32
2920,33
2932,23
2943,28
2955,22
2967,44
2979,15
2991,12
3003,19
3014,34
3025,21
3037,30
3049,6
3060,7375
3072,3333
3084,5308
3096,1042
3108,1110
3120,505
3132,123
3144,286
3156,367
3168,210
3180,129
3192,142
3204,156
3216,85
