t,x
605,34
616,22
627,22
638,42
649,6
660,32
671,28
682,25
693,36
704,2
715,21
726,21
737,12
748,27
759,8
770,19
781,34
792,14
803,18
814,12
825,22
836,28
847,22
858,9
869,104
880,47
891,54
902,67
913,14
924,53
935,27
946,30
957,34
968,10
979,16
990,22
1001,66
1012,34
1023,20
1034,21
1045,40
1056,59
1067,2741
1079,1351
1091,2821
1103,4316
1115,1773
1127,1901
1139,1258
1151,1042
1163,683
1175,382
1187,761
1199,204
1211,253
1223,188
1235,113
1247,84
1258,196
1270,214
1282,99
1293,34
1304,73
1315,128
1327,50
1338,44
1349,59
1360,34
1371,36
1382,42
1393,68
1404,43
1415,21
1426,34
1437,10
1448,26
1459,54
1471,28
1482,73
1493,20
1504,70
1515,33
1526,30
1537,18
1549,51
1561,34
1572,38
1584,17
1596,1580
1608,6717
1620,8254
1632,616
1644,3413
1656,4015
1668,559
1680,789
1692,105
1704,196
1716,244
1728,970
1740,160
1752,116
1764,95
1776,36
1787,21
1799,155
1811,50
1822,36
1833,30
1844,102
1856,58
1867,83
1879,36
1890,12
1901,36
1912,12
1923,29
1935,39
1946,50
1958,17
1970,46
1981,63
1993,21
2005,73
2016,25
2027,16
2038,23
2049,20
2060,12
2071,32
2083,16
2094,19
2105,19
2116,27
2128,563
2140,2783
2152,8589
2164,1985
2176,6096
2188,1156
2200,929
2212,62
2223,279
2235,607
2247,222
2259,45
2271,139
2283,158
2295,65
2307,171
2319,118
2331,15
2342,32
2353,23
2364,63
2376,23
2387,21
2399,43
2410,24
2421,12
2432,17
2444,31
2455,30
2467,18
2479,34
2491,27
2502,47
2514,20
2525,35
2537,42
2548,18
2559,4
2570,23
2581,47
2593,10
2604,41
2615,18
2626,52
2638,32
2649,3980
2661,8238
2673,987
2685,3837
2697,1394
2709,421
2721,337
2733,380
2745,304
2757,380
2769,322
2781,633
2793,358
2805,146
2817,109
2829,75
2841,130
2853,214
2865,42
2877,79
2889,44
2901,96
2912,43
2924,69
2935,31
2947,6
2958,71
2970,164
2982,99
2994,54
3006,17
3018,54
3030,35
3042,36
3053,28
3064,20
3075,17
3087,64
3098,29
3110,26
3122,33
3134,9
3145,33
3157,20
3168,50
3180,1670
3192,2746
3205,992
3217,3524
3229,8573
3241,3943
3253,1228
3265,439
3277,371
3289,566
3301,383
3313,53
3325,74
3337,217
3349,148
3361,93
3373,107
3385,32
3396,49
3408,34
3419,20
3430,38
3441,25
3453,74
3464,17
3476,52
3488,19
3499,42
3511,42
3523,25
3535,11
3547,35
3559,29
3571,13
3582,35
3594,35
3606,9
3617,18
3628,52
3640,30
3651,24
3663,59
3675,17
3687,24
3699,2336
3711,2224
3723,4256
3735,978
3747,1884
3759,493
3771,200
3783,293
3795,117
3807,304
3819,169
3831,117
3843,155
3855,169
3867,113
3879,88
3891,123
3903,53
3915,32
3927,67
3939,128
3951,38
3963,84
3975,13
3987,32
3998,16
4009,43
4021,5
4032,18
4043,33
4054,23
4065,31
4076,55
4087,4
4098,21
4110,34
4122,23
4134,12
4146,30
4158,41
4170,17
4182,24
4194,29
4206,24
4218,999
4230,3599
4242,2470
4254,1824
4266,1015
4278,657
4290,243
4302,111
4314,100
4326,239
4338,402
4350,182
4362,100
4374,158
4386,121
4398,169
4410,198
4422,14
4433,29
4445,42
4457,125
4469,72
4481,58
4493,30
4505,55
4517,55
4529,56
4541,61
4553,46
4565,11
4577,26
4589,72
4601,30
4612,20
4623,30
4635,27
4647,25
4659,23
4671,11
4683,54
4695,20
4706,19
4718,23
4730,2376
4742,8158
4754,1572
4766,2971
4779,1357
4791,453
4803,319
4815,778
4827,107
4839,101
4851,143
4863,437
4875,174
