t,x
605,13
616,18
627,24
638,48
649,31
660,38
671,56
682,46
693,10
704,42
715,21
726,23
737,17
748,33
759,15
770,19
781,20
792,12
803,18
814,56
825,22
836,13
847,11
858,36
869,43
880,28
891,28
902,14
913,27
924,13
935,16
946,30
957,16
968,15
979,10
990,19
1001,17
1012,23
1023,19
1034,42
1045,4
1056,18
1067,8
1078,8
1089,7
1100,26
1111,6
1122,18
1133,14
1144,24
1155,15
1166,25
1177,24
1188,18
1199,54
1211,17
1222,17
1233,10
1244,17
1256,1561
1268,474
1280,1483
1292,564
1304,823
1316,607
1328,389
1340,51
1351,297
1363,340
1375,47
1387,120
1399,73
1410,137
1422,106
1434,95
1445,6
1456,53
1467,47
1479,20
1490,14
1501,17
1512,24
1523,14
1535,33
1546,48
1558,44
1569,6
1580,5
1591,36
1602,4
1613,9
1624,32
1635,46
1646,20
1657,15
1669,46
1680,26
1692,22
1704,24
1716,40
1727,30
1739,14
1750,12
1761,25
1773,16
1785,32
1796,14
1807,16
1819,37
1831,25
1843,55
1855,23
1867,15
1879,10
1890,21
1901,1426
1913,2099
1925,2318
1937,1201
1949,1166
1961,298
1973,523
1985,423
1997,369
2009,136
2021,225
2033,166
2045,44
2056,36
2067,100
2079,100
2091,86
2102,18
2113,36
2124,26
2135,74
2147,39
2159,33
2171,33
2182,18
2193,6
2204,49
2215,26
2227,23
2238,21
2249,37
2260,22
2271,48
2283,32
2295,17
2307,14
2319,17
2331,4
2342,30
2354,16
2365,23
2377,24
2388,29
2399,7
2410,47
2421,19
2432,31
2443,49
2455,30
2467,29
2479,31
2490,10
2501,21
2513,18
2525,3336
2537,5387
2549,1219
2561,1913
2573,2856
2585,654
2597,1493
2609,551
2621,230
2633,37
2645,120
2657,245
2669,236
2681,60
2692,24
2704,26
2715,116
2727,65
2739,30
2751,28
2763,49
2775,34
2787,12
2799,34
2811,8
2822,38
2834,36
2845,28
2857,28
2869,20
2880,6
2891,12
2902,10
2913,24
2925,34
2937,24
2948,10
2959,49
2971,40
2982,20
2993,17
3005,30
3016,18
3027,16
3039,18
3050,12
3061,33
3072,21
3084,16
3096,46
3108,14
3119,17
3131,8
3142,28
3154,2
3165,4
3176,1890
3188,154
3200,885
3212,752
3224,1392
3236,555
3248,407
3260,362
3272,181
3284,49
3296,195
3308,166
3320,91
3331,82
3342,100
3354,74
3366,64
3378,43
3390,20
3401,38
3413,47
3425,43
3437,25
3449,39
3461,63
3473,26
3485,29
3497,22
3509,28
3520,18
3531,7
3542,32
3554,10
3565,53
3577,22
3589,24
3601,16
3612,22
3623,39
3635,24
3647,14
3658,18
3670,23
3681,13
3693,10
3704,18
3716,25
3728,9
3739,46
3751,11
3762,24
3774,7
3785,22
3797,20
3808,22
3820,832
3832,1751
3844,792
3856,855
3868,223
3880,336
3892,90
3903,427
3915,188
3927,275
3939,102
3951,28
3963,66
3975,79
3987,46
3999,82
4011,24
4023,32
4034,17
4045,19
4057,33
4068,12
4079,26
4090,30
4101,37
4113,10
4124,9
4135,16
4147,32
4159,50
4171,17
4183,16
4195,26
4207,19
4219,39
4231,22
4243,33
4255,33
4267,15
4279,18
4290,31
4302,25
4314,9
4325,53
4337,11
4349,11
4361,19
4373,11
4385,25
4397,35
4409,15
4421,8
4432,32
4443,16
4455,1537
4467,1858
4479,515
4491,277
4503,95
4515,39
4527,529
4539,415
4551,35
4563,53
4575,31
4587,94
4599,80
4610,46
4622,43
4634,16
4645,22
4657,30
4669,24
4681,9
4692,28
4704,23
4716,21
4728,38
4739,22
4751,17
4763,72
4775,4
4786,26
4798,8
4809,15
4821,21
4833,27
4845,29
4857,26
4869,31
4881,20
4893,28
4905,10
4916,17
