t,x
604,26
615,12
626,5
637,22
648,23
659,22
670,25
681,13
692,11
703,22
714,17
725,24
736,16
747,54
758,16
769,9
780,36
791,15
802,21
813,13
824,21
835,49
846,23
857,28
868,18
879,23
890,18
901,16
912,17
923,22
934,33
945,10
956,23
967,16
978,42
989,45
1000,37
1011,9
1022,11
1033,7
1044,29
1055,18
1066,31
1077,22
1088,10
1099,26
1110,8
1121,15
1132,21
1143,18
1154,31
1166,48
1177,19
1188,12
1199,23
1210,15
1221,18
1232,24
1243,20
1254,12
1265,16
1276,46
1287,21
1298,24
1309,34
1320,26
1331,26
1342,31
1354,14
1365,12
1376,16
1387,23
1398,18
1409,18
1420,21
1431,7
1442,12
1453,24
1465,22
1477,23
1488,20
1499,51
1510,32
1521,4
1532,21
1543,17
1555,30
1566,31
1578,2
1589,21
1600,10
1611,20
1622,32
1634,18
1646,19
1657,6
1668,24
1680,12
1691,14
1702,16
1713,35
1725,28
1736,13
1748,26
1759,17
1771,10
1782,29
1793,10
1804,29
1816,8
1827,29
1839,24
1850,11
1862,14
1873,15
1885,8
1896,30
1907,16
1919,10
1930,22
1942,18
1953,26
1964,14
1975,18
1986,27
1998,26
2009,13
2020,15
2031,35
2042,16
2053,15
2064,44
2075,31
2086,25
2097,18
2108,10
2119,11
2130,17
2142,7
2153,22
2165,20
2176,6
2187,27
2199,30
2210,12
2221,18
2233,25
2245,25
2257,35
2269,13
2281,38
2293,18
2305,14
2316,18
2328,20
2339,20
2350,18
2361,21
2372,41
2383,14
2394,9
2405,15
2416,5
2427,30
2439,13
2451,24
2462,26
2473,17
2485,16
2497,9
2508,15
2519,19
2531,24
2542,17
2554,8
2565,16
2576,22
2587,20
2598,15
2610,8
2621,22
2633,26
2645,18
2657,16
2669,28
2681,20
2692,6
2703,4
2714,34
2726,7
2737,10
2748,7
2759,17
2771,51
2782,6
2793,24
2805,10
2816,11
2828,17
2840,8
2851,16
2863,23
2875,17
2887,14
2899,17
2911,15
2923,19
2935,13
2947,19
2959,31
2971,16
2983,18
2994,17
3006,14
3017,36
3029,34
3040,16
3051,31
3062,27
3074,51
3086,20
3097,14
3108,47
3120,14
3132,32
3144,22
3156,9
3167,17
3179,16
3191,30
3203,18
3214,17
3226,47
3238,21
3250,14
3261,17
3273,35
3285,4
3296,36
3307,21
3318,31
3330,18
3342,8
3353,20
3364,10
3375,32
3386,15
3398,14
3409,4
3420,23
3431,27
3443,8
3454,8
3465,26
3477,24
3489,15
3501,18
3512,10
3523,23
3535,20
3546,24
3558,10
3569,14
3581,13
3593,17
3605,13
3617,37
3629,32
3641,39
3653,32
3665,45
3677,16
3689,24
3701,26
3712,34
3723,19
3735,19
3747,18
3759,18
3771,23
3783,16
3795,26
3807,8
3818,21
3829,17
3841,21
3853,14
3865,12
3877,34
3889,14
3901,40
3912,28
3923,16
3934,30
3946,20
3957,23
3969,12
3981,42
3993,8
4004,38
4015,24
4027,9
4038,19
4050,38
4062,10
4073,23
4084,8
4095,15
4107,25
4119,26
4131,16
4143,24
4155,8
4166,14
4178,7
4189,14
4201,28
4213,17
4225,20
4236,22
4248,22
4259,20
4270,10
4281,17
4293,26
4305,14
4316,25
4328,17
4340,13
4352,16
4363,17
4375,11
4387,17
4399,18
4411,38
4423,13
4435,14
4447,23
4459,23
4471,28
4483,15
4495,10
4506,20
4518,20
4529,15
4541,21
4553,16
4565,24
4577,34
4589,22
4601,40
4612,25
4624,9
4635,14
4647,16
4659,23
4671,31
4683,14
4695,16
4707,35
4719,48
4731,18
4743,26
4755,30
4767,26
4779,26
4791,13
4803,18
4814,44
4826,20
4837,18
4849,33
4861,14
4873,18
4885,16
4897,18
4908,24
4919,15
4931,16
4943,35
4955,31
4967,18
4979,14
4991,15
5003,29
5014,38
5026,17
5038,17
5050,6
5061,15
5073,24
5085,34
5097,16
5108,18
5120,20
5131,45
5143,17
5155,16
5167,10
5179,12
5190,8
5201,30
5212,20
5224,28
5236,14
5247,27
5259,14
5271,5
5282,13
5294,22
5305,14
5316,19
5328,18
5340,18
5351,22
5363,20
5374,11
5386,55
5398,7
5409,12
5421,29
5433,17
5445,23
5457,18
5469,37
5481,11
5493,26
5505,15
5517,56
5529,46
5541,44
5553,10
5565,13
5577,10
5589,16
5601,10
5612,23
5624,12
5635,46
5647,14
5659,18
5671,6
5682,14
5693,8
5704,12
5715,9
5726,12
5738,34
5750,28
5762,20
5774,12
5786,26
5798,34
5809,23
5821,20
5832,25
5844,32
5856,34
5868,17
5880,37
5892,32
5903,29
5915,28
5926,18
5938,10
5949,24
5961,22
5973,14
5985,52
5997,21
6009,34
6020,21
6031,7
6042,27
6054,35
6066,21
6077,19
6089,15
6101,6
6112,9
6123,20
6134,20
6145,24
6157,25
6169,17
6181,9
6192,8
6203,32
6214,22
6226,21
6238,27
6250,18
6261,28
6273,10
6285,12
6297,16
6309,20
6320,23
6331,26
6343,22
6354,17
6366,23
6378,12
6389,34
6401,27
6413,18
6425,43
6437,36
6449,42
6461,46
6473,34
6485,21
6497,23
6509,40
6520,30
6531,10
6542,41
6554,26
6566,24
6577,39
6589,12
6601,36
6612,20
6623,30
6635,14
6647,18
6658,18
6670,22
6682,18
6694,16
6705,31
6717,15
6729,29
6741,19
6753,16
6765,24
6777,12
6788,12
6800,23
6811,15
6823,15
6835,23
6847,23
6859,17
6871,15
6883,16
6895,7
6906,5
6917,14
6929,10
6941,17
6953,10
6964,18
6975,34
6987,22
6999,24
7011,23
7023,12
7035,17
7047,17
7059,14
7071,38
7083,31
7094,27
7106,6
7117,15
7129,26
7141,19
7153,12
7165,16
7177,31
7189,10
7200,12
7211,19
7223,11
7235,23
7247,24
7259,18
7271,24
7283,12
7295,24
7307,31
7319,12
7331,11
7343,18
7355,9
7366,18
7378,13
7390,17
7402,19
7414,15
7426,19
7438,34
7450,22
7461,19
7473,24
7485,21
7497,23
7509,16
7521,33
7533,20
7544,27
7556,18
7568,27
7580,24
7592,17
7604,30
7615,18
7627,8
7638,8
7649,38
7661,20
7672,23
7684,4
7695,22
7707,8
7718,8
7729,13
7741,14
7752,17
7764,12
7775,4
7786,10
7797,14
7809,20
7820,14
7831,13
7843,25
7855,24
7866,23
7878,14
7889,12
7901,26
7913,21
7925,21
7937,30
7949,20
7960,39
7971,12
7983,10
7994,20
8005,31
8016,14
8027,34
8039,25
8051,28
8063,14
8074,16
8086,21
8098,12
8110,20
8121,29
8133,8
8144,19
8156,34
8168,10
8179,14
8191,25
8203,32
8215,17
8227,8
8238,33
8250,8
8261,28
8273,14
8285,14
8297,36
8309,12
8320,28
8331,15
8343,14
8355,8
8366,14
8377,31
8389,6
8400,10
8411,12
8423,20
8434,14
8446,18
8458,6
8469,22
8481,22
8493,42
8505,22
8516,17
8528,35
8540,32
8551,36
8563,16
8574,9
8585,14
8597,31
8609,6
8620,16
8631,17
8643,26
8654,25
8666,52
8678,18
8690,9
8701,20
8712,8
8723,6
8734,14
8746,38
8758,26
8770,38
8782,21
8793,5
8804,10
8815,20
8826,16
8838,29
8850,10
8861,10
8872,15
8884,31
8896,13
8908,27
8920,13
8932,30
8943,6
8954,18
8966,31
8978,19
8990,26
9002,13
9013,23
9024,7
9035,12
9046,4
9057,16
9069,12
9081,50
9093,17
9105,8
9116,15
9128,24
9140,22
9151,7
9162,13
9174,20
9185,45
9197,24
9209,24
9221,13
9233,22
9245,21
9257,34
9269,35
9281,11
9293,20
9304,24
9316,30
9328,19
9340,28
9351,14
9362,27
9374,13
9386,9
9397,11
9409,6
9420,20
9431,32
9443,18
9455,39
9467,28
9479,10
9490,20
9501,17
9513,17
9525,20
9536,42
9547,19
9559,28
9571,54
9583,23
9595,45
9607,31
9618,11
9630,29
9642,35
9654,24
9666,19
9678,16
9690,23
9702,21
9713,18
9725,55
9737,15
9749,30
9760,20
9771,16
9782,24
9794,34
9806,40
9817,20
9828,42
9840,45
9851,14
9863,26
9875,18
9887,22
9899,28
9911,10
9922,36
